,CategoryID,VideoCategory,Country
0,1,Film & Animation,Canada
1,2,Autos & Vehicles,Canada
2,10,Music,Canada
3,15,Pets & Animals,Canada
4,17,Sports,Canada
5,18,Short Movies,Canada
6,19,Travel & Events,Canada
7,20,Gaming,Canada
8,21,Videoblogging,Canada
9,22,People & Blogs,Canada
10,23,Comedy,Canada
11,24,Entertainment,Canada
12,25,News & Politics,Canada
13,26,Howto & Style,Canada
14,27,Education,Canada
15,28,Science & Technology,Canada
16,30,Movies,Canada
17,31,Anime/Animation,Canada
18,32,Action/Adventure,Canada
19,33,Classics,Canada
20,34,Comedy,Canada
21,35,Documentary,Canada
22,36,Drama,Canada
23,37,Family,Canada
24,38,Foreign,Canada
25,39,Horror,Canada
26,40,Sci-Fi/Fantasy,Canada
27,41,Thriller,Canada
28,42,Shorts,Canada
29,43,Shows,Canada
30,44,Trailers,Canada
16,29,Nonprofits & Activism,United States
